INFO:root:User logged in
INFO:root:clic Dashboard
INFO:root:clic onboarding
INFO:root:clic project
INFO:root:clic supplier
INFO:root:clic Dashboard
INFO:root:clic Dashboard
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic supplier
INFO:root:clic onboarding
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic rfi rfq
INFO:root:clic rfi rfq
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic Dashboard
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
INFO:root:clic supplier
2024-07-12 11:50:17,239 clic Dashboard
2024-07-12 11:50:49,954 clic onboarding
2024-07-12 11:50:54,881 clic project
2024-07-12 11:50:56,418 clic supplier
2024-07-12 11:51:29,619 clic supplier
2024-07-12 12:09:20,132 clic onboarding
2024-07-12 12:09:21,334 clic Dashboard
2024-07-12 12:09:30,370 clic supplier
2024-07-12 12:09:47,780 clic supplier
2024-07-12 12:10:29,740 clic supplier
2024-07-12 12:10:38,296 clic supplier
2024-07-12 12:11:35,385 clic supplier
2024-07-12 12:11:48,206 clic supplier
2024-07-12 12:12:23,945 clic supplier
2024-07-12 12:12:29,912 clic supplier
2024-07-12 12:12:44,092 clic supplier
2024-07-12 12:12:52,269 clic supplier
2024-07-12 12:14:33,284 clic supplier
2024-07-12 12:16:01,094 clic supplier
2024-07-12 12:16:33,765 clic supplier
2024-07-12 12:16:37,984 clic supplier
2024-07-12 12:16:56,177 clic supplier
2024-07-12 12:16:59,728 clic supplier
2024-07-12 12:19:32,287 clic supplier
2024-07-12 12:19:35,827 clic supplier
2024-07-12 12:19:59,963 clic supplier
2024-07-12 12:20:03,644 clic supplier
2024-07-12 12:24:25,505 clic supplier
2024-07-12 12:25:13,541 clic supplier
2024-07-12 12:27:10,741 clic supplier
2024-07-12 12:27:33,482 clic supplier
2024-07-12 12:27:39,596 clic supplier
2024-07-12 12:27:43,939 clic supplier
2024-07-12 12:27:50,806 clic supplier
2024-07-12 12:27:55,342 clic supplier
2024-07-12 12:44:33,090 clic Dashboard
2024-07-12 12:44:40,446 clic supplier
2024-07-12 12:46:24,842 clic Dashboard
2024-07-12 12:46:33,676 clic supplier
2024-07-12 12:47:31,114 clic supplier
2024-07-12 12:49:01,336 clic supplier
2024-07-12 12:49:05,813 clic supplier
2024-07-12 12:49:14,980 clic supplier
2024-07-12 12:49:32,288 clic supplier
2024-07-12 14:15:10,455 clic Dashboard
2024-07-12 14:15:11,088 clic Dashboard
2024-07-12 14:15:11,807 clic Dashboard
2024-07-12 14:15:27,580 clic supplier
2024-07-12 14:15:38,165 clic supplier
2024-07-12 14:18:21,570 clic supplier
2024-07-12 14:18:26,014 clic supplier
2024-07-12 14:18:29,668 clic supplier
2024-07-12 14:19:39,088 clic supplier
2024-07-12 14:22:02,144 clic supplier
2024-07-12 14:22:37,522 clic supplier
2024-07-12 14:22:42,855 clic supplier
2024-07-12 14:22:48,978 clic supplier
2024-07-12 14:23:19,312 clic supplier
2024-07-12 14:24:26,392 clic supplier
2024-07-12 14:27:08,826 clic supplier
2024-07-12 14:27:13,337 clic supplier
2024-07-12 14:27:16,862 clic supplier
2024-07-12 14:27:33,214 clic project
2024-07-12 14:27:59,294 clic rfi rfq
2024-07-12 14:28:53,090 clic supplier
2024-07-12 14:30:32,070 clic supplier
2024-07-12 14:30:39,368 clic supplier
2024-07-12 14:31:07,283 clic supplier
2024-07-12 14:31:11,507 clic supplier
2024-07-12 14:31:14,693 clic supplier
2024-07-12 14:33:00,885 clic supplier
2024-07-12 14:33:36,447 clic supplier
2024-07-12 14:33:42,535 clic supplier
2024-07-12 14:33:46,157 clic supplier
2024-07-12 14:35:05,253 clic supplier
2024-07-12 14:35:06,986 clic supplier
